y,x1,x2,x3,x4,x5,x6,x7,x8
3,1,0,0,3,0,4,0,8
3,1,0,0,3,0,4,0,9
2,1,6,0,3,0,1,0,7
3,1,0,0,3,0,4,0,11
3,1,0,0,3,0,4,0,7
3,1,0,0,3,0,4,0,8
2,1,0,0,2,0,4,0,5
2,1,0,0,2,0,4,0,7
2,1,0,0,2,0,2,0,8
2,1,0,0,3,0,4,0,5
4,1,0,0,3,1,4,0,10
2,1,0,0,2,0,4,0,7
2,1,0,0,3,0,4,0,6
2,1,0,0,3,0,1,0,6
2,1,0,0,2,0,1,0,7
2,1,0,0,2,0,1,0,7
2,1,0,0,2,0,1,0,7
3,1,0,0,2,1,1,0,9
3,1,0,0,3,0,1,0,7
3,1,4,0,3,0,1,1,8
7,1,2,0,10,2,0,1,17
8,1,2,0,10,1,1,1,18
6,1,2,0,5,2,1,1,15
3,1,5,0,2,0,1,1,4
11,1,2,0,10,4,1,1,21
1,1,2,0,2,0,1,1,3
4,1,2,0,3,0,0,1,11
8,1,1,0,10,1,1,1,19
7,1,1,0,8,2,1,1,19
3,2,0,0,3,0,1,0,10
4,2,0,0,3,1,4,0,11
2,2,4,0,3,0,4,0,5
3,2,0,0,3,0,4,0,12
5,2,0,0,3,2,4,0,12
6,2,0,0,4,2,4,0,15
2,2,0,0,3,0,4,0,5
3,2,0,0,3,0,2,0,12
3,2,0,0,3,0,1,0,7
3,2,0,0,3,0,1,0,8
3,2,0,0,3,0,1,0,15
2,2,0,0,8,2,1,0,10
2,3,10,5,2,0,2,0,7
5,3,0,0,4,1,1,0,12
4,3,0,0,4,0,1,0,11
3,3,0,0,3,1,1,0,7
5,3,0,0,4,2,1,0,15
5,3,0,0,4,0,1,0,15
2,3,0,0,3,0,1,0,8
5,3,0,0,3,2,1,0,10
2,3,5,0,2,0,1,0,6
3,3,2,0,3,0,3,0,8
1,3,8,3,2,0,1,1,5
3,3,0,0,7,1,4,2,8
12,3,0,0,10,4,2,2,22
6,3,0,0,8,1,4,2,20
8,3,0,0,10,1,2,2,20
3,3,0,0,3,0,1,1,14
3,3,0,0,3,0,2,1,14
2,3,0,0,2,0,2,2,11
4,3,3,2,5,0,1,0,8
