Industry,Sales,R&D,Profits
Food,"3,74,342","2,716","2,34,662"
"Textiles,apparel,and leather","51,639",816,"53,510"
Basic chemicals ,"1,09,899","2,277","75,168"
" Resin, synthetic rubber, ?bers, and ?lament ","1,32,934","2,294","34,645"
Pharmaceuticals and medicines,"2,73,377","34,839","1,27,639"
 Plastics and rubber products,"90,176","1,760","96,162"
Fabricated metal products,"1,74,165","1,375","1,55,801"
 Machinery,"2,30,941","8,531","1,43,472"
Computers and peripheral equipment,"91,010","4,955","34,004"
 Semiconductor and other electronic components,"1,76,054","18,724","81,317"
" Navigational, measuring, electromedical, and control instruments","1,18,648","15,204","73,258"
" Electrical equipment, appliances, and components","1,01,398","2,424","54,742"
Aerospace products and parts,"2,27,271","15,005","72,090"
Medical equipment and supplies,"56,661","4,374","52,443"
