Year,Y,X
1960,60.8,48.9
1961,62.5,50.6
1962,64.6,52.9
1963,66.1,55
1964,67.7,56.8
1965,69.1,58.8
1966,71.7,61.2
1967,73.5,62.5
1968,76.2,64.7
1969,77.3,65
1970,78.8,66.3
1971,80.2,69
1972,82.6,71.2
1973,84.3,73.4
1974,83.3,72.3
1975,84.1,74.8
1976,86.4,77.1
1977,87.6,78.5
1978,89.1,79.3
1979,89.3,79.3
1980,89.1,79.2
1981,89.3,80.8
1982,90.4,80.1
1983,90.3,83
1984,90.7,85.2
1985,92,87.1
1986,94.9,89.7
1987,95.2,90.1
1988,96.5,91.5
1989,95,92.4
1990,96.2,94.4
1991,97.4,95.9
1992,100,100
1993,99.7,100.4
1994,99,101.3
1995,98.7,101.5
1996,99.4,104.5
1997,100.5,106.5
1998,105.2,109.5
1999,108,112.8
2000,112,116.1
2001,113.5,119.1
2002,115.7,124
2003,117.7,128.7
2004,119,132.7
2005,120.2,135.7
